date,release_id,stream,site,subsite,site_group,count,fork_length
1998-12-23,KNL1,sacramento river,knights landing,not recorded,knights landing,0,NA
1998-12-28,KNL2,sacramento river,knights landing,not recorded,knights landing,0,NA
2000-01-30,KNL3,sacramento river,knights landing,not recorded,knights landing,3,NA
2000-02-02,KNL4,sacramento river,knights landing,not recorded,knights landing,3,NA
2000-02-06,KNL5,sacramento river,knights landing,not recorded,knights landing,1,NA
2000-02-07,KNL6,sacramento river,knights landing,not recorded,knights landing,1,NA
2000-02-09,KNL7,sacramento river,knights landing,not recorded,knights landing,1,NA
2000-02-10,KNL8,sacramento river,knights landing,not recorded,knights landing,1,NA
2000-02-13,KNL9,sacramento river,knights landing,not recorded,knights landing,32,NA
2000-02-14,KNL10,sacramento river,knights landing,not recorded,knights landing,32,NA
2000-02-15,KNL11,sacramento river,knights landing,not recorded,knights landing,32,NA
2000-02-16,KNL12,sacramento river,knights landing,not recorded,knights landing,32,NA
2000-02-17,KNL13,sacramento river,knights landing,not recorded,knights landing,32,NA
2000-02-20,KNL14,sacramento river,knights landing,not recorded,knights landing,6,NA
2000-02-21,KNL15,sacramento river,knights landing,not recorded,knights landing,6,NA
2000-02-22,KNL16,sacramento river,knights landing,not recorded,knights landing,6,NA
2000-02-23,KNL17,sacramento river,knights landing,not recorded,knights landing,6,NA
2000-02-24,KNL18,sacramento river,knights landing,not recorded,knights landing,6,NA
2000-02-27,KNL19,sacramento river,knights landing,not recorded,knights landing,2,NA
2000-03-01,KNL20,sacramento river,knights landing,not recorded,knights landing,2,NA
2000-03-02,KNL21,sacramento river,knights landing,not recorded,knights landing,2,NA
2000-03-05,KNL22,sacramento river,knights landing,not recorded,knights landing,1,NA
2000-03-07,KNL23,sacramento river,knights landing,not recorded,knights landing,1,NA
2000-03-08,KNL24,sacramento river,knights landing,not recorded,knights landing,1,NA
2000-03-09,KNL25,sacramento river,knights landing,not recorded,knights landing,1,NA
2000-03-14,KNL26,sacramento river,knights landing,not recorded,knights landing,0,NA
2000-03-23,KNL27,sacramento river,knights landing,not recorded,knights landing,0,NA
2000-03-30,KNL28,sacramento river,knights landing,not recorded,knights landing,0,NA
2000-04-06,KNL29,sacramento river,knights landing,not recorded,knights landing,0,NA
2000-04-22,KNL30,sacramento river,knights landing,not recorded,knights landing,0,NA
